model,MAE,RMSE,MAPE,SMAPE
Baseline Ensemble (0.60/0.25/0.15),36.98838962302498,49.52134760422386,0.4108912653968384,0.41145622542760973
XGB  (200-trial Optuna),35.832303028486365,50.75035470976987,0.3947465181387632,0.39512590733988445
LGB  (Optuna tuned),36.90667988844747,48.249185593793015,0.4140609026958155,0.41484589994873744
CAT  (Optuna tuned),28.251442119777153,40.34306424370662,0.30913622485311293,0.30949865077456223
Ens  Inverse-MAE (0.279/0.345/0.376),29.239063737553856,39.50414489157738,0.3249097925808021,0.32532551636273377
Ens  Grid-Search (0.05/0.30/0.6500),28.330230640579817,38.738227423127384,0.31350118514529646,0.3139080584385514
Ens  Nelder-Mead (0.0065/0.3477/0.6458),28.64131804442337,39.03101577774326,0.3172130014229869,0.31763726201721465
