model,MAE,RMSE,MAPE,SMAPE
XGB (baseline),37.84499017947026,51.36818129240484,0.41913089169526496,0.41967909530685
XGB (Optuna),34.54361076453522,46.494704523532754,0.3831588517152382,0.3836306326570868
LGB (baseline),40.941973022498566,53.85863916580685,0.45795100176878095,0.45865715896394416
LGB (Optuna),32.619169210066055,43.6579611337632,0.3611320722772205,0.36146116694656466
CAT (baseline),43.264527233777265,56.576171909465074,0.4785127871406953,0.4793160263881562
CAT (Optuna),36.97265715418492,51.58103591895141,0.400263726812712,0.401037035491322
Ensemble baseline 0.60/0.25/0.15,36.98838962302498,49.52134760422386,0.4108912653968384,0.41145622542760973
Ensemble Optuna 0.05/0.5/0.45,30.473818224236393,41.38826581198828,0.33463210120904935,0.33506997423970974
