model,MAE,RMSE,MAPE,SMAPE
XGBoost,37.84499017947026,51.36818129240484,0.41913089169526496,0.41967909530685
LightGBM,40.941973022498566,53.85863916580685,0.45795100176878095,0.45865715896394416
CatBoost,43.264527233777265,56.576171909465074,0.4785127871406953,0.4793160263881562
Weighted Ensemble (0.6/0.25/0.15),36.98838962302498,49.52134760422386,0.4108912653968384,0.41145622542760973
