model,MAE,RMSE,MAPE,SMAPE
XGBoost,37.20224177556602,50.56478329296502,0.41283695604931125,0.41340049842946885
LightGBM,39.782882007893306,52.34175537735921,0.44306131757585415,0.4436423775509599
CatBoost,42.780394136562734,55.89022694052278,0.47348331424323375,0.4742514175413967
Weighted Ensemble (0.6/0.2/0.2),36.40489511157902,48.671059975105614,0.40484394550573954,0.4054033773036912
